,id,type,subtype,price,transactionType,zip,visualisationOption,cuisine_type,constructionYear,condition,heatingType,room_number,atticExists,basementExists,hasSwimmingPool,indoor,outdoor,short_id,company_name,mètres carrés,commune
6150,8929257,apartment,apartment,195000,for sale,6224,xl,usa installed,2020.0,as new,gas,3.0,False,False,False,,,3563305,les maison de marjorie toma,3,WANFERC%C3%89E-BAULET
6151,8936068,apartment,apartment,193000,for sale,6032,xl,installed,2020.0,as new,gas,2.0,False,False,False,1.0,,3492432,welcome immobilière,84,Charleroi
6152,9020221,apartment,apartment,198000,for sale,8380,xl,No infos,2015.0,as new,gas,2.0,False,False,False,,,1184820,rencura gent,73,Brugge%20Zeebrugge
6153,8849170,apartment,apartment,199000,for sale,7000,xl,semi equipped,1966.0,as new,gas,3.0,False,True,False,,,259031,immobilière vansthertem sprl,135,Mons
6154,8871631,apartment,apartment,199900,for sale,2100,xl,hyper equipped,1963.0,good,gas,2.0,False,False,False,,,3342539,No agency,100,Deurne
6155,9023888,apartment,apartment,199000,for sale,7700,xl,No infos,2007.0,good,gas,2.0,False,True,False,,1.0,634327,lanno immo,106,Mouscron
6156,8788719,apartment,apartment,199500,for sale,8450,xl,No infos,2007.0,good,electric,2.0,False,False,False,,,2648324,astrid immobilia,65,Bredene
6157,8946825,apartment,apartment,199000,for sale,4000,xl,semi equipped,2020.0,just renovated,electric,2.0,False,True,False,,,1645155,No agency,95,Li%C3%A8ge
6158,8794336,apartment,apartment,209000,for sale,8660,xl,installed,2020.0,good,electric,1.0,False,False,True,1.0,,3580389,No agency,60,La%20Panne
6159,8968345,apartment,apartment,202500,for sale,8500,xl,No infos,2020.0,good,gas,1.0,False,False,False,,,187341,era becue,62,Courtrai
6160,8990949,apartment,apartment,210000,for sale,4000,xl,installed,2008.0,good,gas,2.0,False,True,False,,,382808,stoler immo,100,LIEGE
6161,8664577,apartment,apartment,219500,for sale,8450,xl,No infos,2008.0,good,electric,3.0,False,False,False,,,2648324,astrid immobilia,114,Bredene
6162,8968601,apartment,apartment,215000,for sale,9040,xl,hyper equipped,2010.0,as new,gas,1.0,False,False,False,,5.0,1989885,immo da vinci,58,Gent%20Sint-Amandsberg
6163,8722415,apartment,apartment,210000,for sale,8200,xl,No infos,2001.0,good,gas,2.0,False,False,False,,,3073855,immo la clé,94,Sint-Andries
6164,8484021,apartment,duplex,218000,for sale,3300,xl,No infos,2001.0,to renovate,gas,3.0,False,True,False,,,239040,ltc vastgoedadvies,158,Tirlemont
